aymara,english
Phaxsi,Sun
Jach'a,Big
Mallku,Condor
Jiska,Moon
Pacha,World
Illimani,Mountain
Llaki,Love
Q'illu,White
Pirwa,Cloud
Inti,Fire
Nina,Child
Suma,Water
Ch'allay,Goodbye
Puma,Cougar
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Chuki,Corn
Wira,Blood
Kunti,Bone
Waqay,To cry
Wak'a,Sacred place
K'ara,Black
Wamp'u,Song
K'intu,Offering
Puri,Cloud
Pusku,Wool
Juk'i,Mud
Muru,Seed
Tawa,Four
P'unchay,To blossom
Q'illu Phaxsi,Full Moon
Jisk'a Phaxsi,Crescent Moon
Misk'i,Sweet
Yawar,Blood
Yana,Black
Siki,To walk
Wich'qana,To sing
Phururu,To jump
Q'ara,Coal
Wasi,Wife
Wasi,Husband
Q'arwa,Cold
K'uychi,Rainbow
Willa,Tree
Kachi,Salt
Pisqa,White
Q'omer,Mountain
Muña,Mint
Tunka,Bottle
Ch'allay,Goodbye
Kusillo,Dancer
Llank'ay,Work
Supay,Devil
Mamaq,Mother
Tataq,Father
Kusiku,Night
Wayna,Young
Wit'i,Small
Qallu,Hair
Nayra,Eye
Iskay,Two
Qantu,Flower
P'itita,Little
Qala,Stone
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Chuki,Corn
Wira,Blood
Kunti,Bone
Waqay,To cry
Wak'a,Sacred place
K'ara,Black
Wamp'u,Song
K'intu,Offering
Puri,Cloud
Pusku,Wool
Juk'i,Mud
Muru,Seed
Tawa,Four
P'unchay,To blossom
Q'illu Phaxsi,Full Moon
Jisk'a Phaxsi,Crescent Moon
Misk'i,Sweet
Yawar,Blood
Yana,Black
Siki,To walk
Wich'qana,To sing
Phururu,To jump
Q'ara,Coal
Wasi,Wife
Wasi,Husband
Q'arwa,Cold
K'uychi,Rainbow
Willa,Tree
Kachi,Salt
Pisqa,White
Q'omer,Mountain
Muña,Mint
Tunka,Bottle
Ch'allay,Goodbye
Kusillo,Dancer
Llank'ay,Work
Supay,Devil
Mamaq,Mother
Tataq,Father
Kusiku,Night
Wayna,Young
Wit'i,Small
Qallu,Hair
Nayra,Eye
Iskay,Two
Qantu,Flower
P'itita,Little
Qala,Stone
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
Ñawiñam munay, My love
T'ika jilanchay, You miss
Mama wawqi, Mother's child
Sara ñawi, Shining eye
Apu Mallku, Condor chief
Sara inti, Shining sun
Ñuqa suti, I send
Phaxsi janq'a, Sun going
Q'ara phaxsi, Black sun
Ñuqa jisk'a, I shine
Wasi phaxsi, House sun
T'ika phusuy, You leave
Ñawiñam jach'a, Big eye
Mama inti, Mother's sun
Sara wakichis, Sun talking
Ñuqa wakichis, I talk
Phaxsi wakichis, Sun talking
Suma munay, I love
Apu Ñawi, Chief's eye
Ñuqa munay, I love
Wasi t'ikaru, House returning
Q'ara ñawi, Black eye
Ñuqa t'ikaru, I return
Jach'a phusuy, Big leave
Ñawi munay, Eye love
Sara jach'a, Shining big
Phaxsi ñawi, Sun eye
Ñuqa jach'a, I am big
Wasi janq'a, House going
T'ika suti, You send
Ñawiñam wakichis, My talking
Mama phusuy, Mother leaves
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi inti, Sun's sun
Q'ara jisk'a, Black shine
Ñuqa phusuy, I leave
Jach'a munay, Big love
Ñawi ñawi, Eye eye
Sara ñawi, Shining eye
Phaxsi suti, Sun send
Suma janq'a, I am going
Apu inti, Chief's sun
Ñuqa wakichis, I talk
Wasi wakichis, House talking
T'ika wakichis, You talk
Ñawiñam phusuy, My leaving
Mama jisk'a, Mother shines
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi jach'a, Sun big
Q'ara ñawi, Black eye
Ñuqa suti, I send
Jach'a janq'a, Big going
Ñawi munay, Eye love
Sara munay, Shining love
Phaxsi ñawi, Sun eye
Ñuqa jach'a, I am big
Wasi janq'a, House going
T'ika suti, You send
Ñawiñam wakichis, My talking
Mama phusuy, Mother leaves
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi inti, Sun's sun
Q'ara jisk'a, Black shine
Ñuqa phusuy, I leave
Jach'a munay, Big love
Ñawi ñawi, Eye eye
Sara ñawi, Shining eye
Phaxsi suti, Sun send
Suma janq'a, I am going
Apu inti, Chief's sun
Ñuqa wakichis, I talk
Wasi wakichis, House talking
